date,Open,High,Low,Adj Close,Volume
2020-04-23 11:50:00,121.04,121.1253,120.97,121.02,26576.0
2020-04-23 11:45:00,120.95,121.1,120.91,121.05,40794.0
2020-04-23 11:40:00,120.8306,121.01,120.7,120.965,72960.0
2020-04-23 11:35:00,121.0144,121.06,120.7444,120.85,42305.0
2020-04-23 11:30:00,120.95,121.1444,120.89,121.0288,36187.0
2020-04-23 11:25:00,120.9399,120.96,120.8,120.92,22587.0
2020-04-23 11:20:00,120.68,120.96,120.68,120.92,31574.0
2020-04-23 11:15:00,120.66,120.76,120.52,120.65,31579.0
2020-04-23 11:10:00,120.72,120.86,120.57,120.66,37862.0
2020-04-23 11:05:00,121.01,121.04,120.62,120.72,56578.0
2020-04-23 11:00:00,120.8525,121.07,120.84,121.0,43016.0
2020-04-23 10:55:00,120.67,120.95,120.56,120.8194,31317.0
2020-04-23 10:50:00,120.7691,120.98,120.62,120.71,27307.0
2020-04-23 10:45:00,120.71,120.92,120.7,120.755,33774.0
2020-04-23 10:40:00,120.58,120.79,120.55,120.7,29642.0
2020-04-23 10:35:00,120.39,120.58,120.25,120.56,41146.0
2020-04-23 10:30:00,120.2877,120.48,120.1612,120.39,47061.0
2020-04-23 10:25:00,120.11,120.38,120.1,120.293,29245.0
2020-04-23 10:20:00,119.93,120.16,119.73,120.0937,24644.0
2020-04-23 10:15:00,119.84,120.06,119.73,119.94,35436.0
2020-04-23 10:10:00,119.63,120.1,119.63,119.83,35761.0
2020-04-23 10:05:00,119.74,119.91,119.27,119.6,47673.0
2020-04-23 10:00:00,119.81,119.87,119.45,119.79,55020.0
2020-04-23 09:55:00,120.42,120.42,119.77,119.82,40915.0
2020-04-23 09:50:00,120.905,121.19,120.4,120.455,47863.0
2020-04-23 09:45:00,120.79,120.98,120.735,120.905,58066.0
2020-04-23 09:40:00,120.27,120.88,120.13,120.8308,60007.0
2020-04-23 09:35:00,119.57,120.64,119.57,120.2,131755.0
2020-04-22 16:00:00,119.73,119.75,119.25,119.26,202011.0
2020-04-22 15:55:00,119.62,119.93,119.55,119.73,201458.0
2020-04-22 15:50:00,119.57,119.64,119.34,119.605,82818.0
2020-04-22 15:45:00,119.37,119.56,119.35,119.555,63463.0
2020-04-22 15:40:00,119.315,119.45,119.2521,119.38,52983.0
2020-04-22 15:35:00,119.36,119.58,119.28,119.31,49914.0
2020-04-22 15:30:00,119.44,119.51,119.31,119.38,42465.0
2020-04-22 15:25:00,119.58,119.65,119.43,119.44,44610.0
2020-04-22 15:20:00,119.59,119.6,119.45,119.5897,32963.0
2020-04-22 15:15:00,119.65,119.7393,119.59,119.6,33490.0
2020-04-22 15:10:00,119.75,119.75,119.5452,119.64,27919.0
2020-04-22 15:05:00,119.57,119.77,119.44,119.75,60264.0
2020-04-22 15:00:00,119.63,119.66,119.48,119.59,38007.0
2020-04-22 14:55:00,119.85,119.9599,119.64,119.64,71343.0
2020-04-22 14:50:00,119.54,119.89,119.475,119.85,38011.0
2020-04-22 14:45:00,119.45,119.62,119.423,119.58,43826.0
2020-04-22 14:40:00,119.51,119.595,119.36,119.455,36991.0
2020-04-22 14:35:00,119.27,119.595,119.26,119.52,33283.0
2020-04-22 14:30:00,119.44,119.49,119.26,119.26,28187.0
2020-04-22 14:25:00,119.23,119.58,119.23,119.4675,49445.0
2020-04-22 14:20:00,119.31,119.31,119.195,119.24,52353.0
2020-04-22 14:15:00,119.4788,119.4788,119.31,119.32,41859.0
2020-04-22 14:10:00,119.635,119.69,119.3668,119.46,37111.0
2020-04-22 14:05:00,119.71,119.7407,119.59,119.64,35365.0
2020-04-22 14:00:00,119.7,119.8,119.65,119.73,36179.0
2020-04-22 13:55:00,119.73,119.82,119.63,119.69,114490.0
2020-04-22 13:50:00,119.61,119.73,119.57,119.73,34147.0
2020-04-22 13:45:00,119.469,119.67,119.469,119.6,25750.0
2020-04-22 13:40:00,119.51,119.63,119.44,119.5,31245.0
2020-04-22 13:35:00,119.61,119.6402,119.465,119.515,24307.0
2020-04-22 13:30:00,119.44,119.62,119.385,119.62,49734.0
2020-04-22 13:25:00,119.39,119.45,119.29,119.43,36965.0
2020-04-22 13:20:00,119.18,119.4,119.1501,119.4,57031.0
2020-04-22 13:15:00,119.03,119.2,119.01,119.1575,26599.0
2020-04-22 13:10:00,119.01,119.1,118.93,119.0225,30007.0
2020-04-22 13:05:00,118.96,119.04,118.93,119.01,36483.0
2020-04-22 13:00:00,118.73,118.96,118.68,118.96,35364.0
2020-04-22 12:55:00,118.7744,118.86,118.72,118.72,58083.0
2020-04-22 12:50:00,118.685,118.86,118.685,118.81,64669.0
2020-04-22 12:45:00,118.56,118.79,118.55,118.7,31453.0
2020-04-22 12:40:00,118.66,118.7,118.51,118.55,83373.0
2020-04-22 12:35:00,118.58,118.74,118.55,118.66,36182.0
2020-04-22 12:30:00,118.47,118.59,118.34,118.5699,38330.0
2020-04-22 12:25:00,118.425,118.54,118.33,118.455,56451.0
2020-04-22 12:20:00,118.4,118.54,118.36,118.42,20987.0
2020-04-22 12:15:00,118.35,118.55,118.2875,118.4,59448.0
2020-04-22 12:10:00,118.52,118.53,118.28,118.33,30537.0
2020-04-22 12:05:00,118.48,118.6169,118.42,118.52,34340.0
2020-04-22 12:00:00,118.77,118.77,118.335,118.46,42273.0
2020-04-22 11:55:00,118.755,118.8262,118.7201,118.78,46854.0
2020-04-22 11:50:00,118.57,118.79,118.52,118.77,30808.0
2020-04-22 11:45:00,118.35,118.76,118.235,118.5579,28067.0
2020-04-22 11:40:00,118.11,118.39,118.04,118.34,42076.0
2020-04-22 11:35:00,118.075,118.32,118.075,118.17,25137.0
2020-04-22 11:30:00,118.25,118.33,118.01,118.11,27498.0
2020-04-22 11:25:00,117.91,118.2,117.875,118.19,32669.0
2020-04-22 11:20:00,117.97,118.09,117.88,117.9,35964.0
2020-04-22 11:15:00,118.1,118.21,117.97,117.98,38617.0
2020-04-22 11:10:00,117.88,118.14,117.8419,118.08,40823.0
2020-04-22 11:05:00,117.6996,117.8999,117.58,117.8999,32877.0
2020-04-22 11:00:00,117.66,117.78,117.55,117.73,48629.0
2020-04-22 10:55:00,118.05,118.2,117.6,117.645,48801.0
2020-04-22 10:50:00,118.27,118.41,117.94,118.06,43552.0
2020-04-22 10:45:00,118.53,118.68,118.22,118.29,37252.0
2020-04-22 10:40:00,118.43,118.78,118.42,118.54,38847.0
2020-04-22 10:35:00,118.39,118.636,118.36,118.4598,44872.0
2020-04-22 10:30:00,118.65,118.7,118.2,118.36,57691.0
2020-04-22 10:25:00,118.56,118.75,118.5,118.64,62894.0
2020-04-22 10:20:00,118.56,118.78,118.4105,118.5101,55916.0
2020-04-22 10:15:00,119.2,119.34,118.58,118.5999,48862.0
2020-04-22 10:10:00,119.36,119.56,119.06,119.2,73897.0
2020-04-22 10:05:00,118.82,119.37,118.59,119.37,153839.0
2020-04-22 10:00:00,118.56,118.95,118.48,118.8,68924.0
2020-04-22 09:55:00,118.5799,118.66,118.35,118.58,74330.0
2020-04-22 09:50:00,118.75,118.92,118.5,118.55,74271.0
2020-04-22 09:45:00,118.73,118.92,118.5,118.78,86587.0
2020-04-22 09:40:00,118.885,119.05,118.15,118.73,123544.0
2020-04-22 09:35:00,119.87,120.33,118.5,118.79,540889.0
2020-04-21 16:00:00,116.17,117.07,116.16,117.05,475891.0
2020-04-21 15:55:00,116.25,116.595,116.0,116.185,392586.0
2020-04-21 15:50:00,116.35,116.52,116.28,116.32,152904.0
2020-04-21 15:45:00,116.69,116.7477,116.3,116.36,138982.0
2020-04-21 15:40:00,116.6755,117.145,116.655,116.67,157838.0
2020-04-21 15:35:00,116.66,116.8,116.385,116.7,122082.0
2020-04-21 15:30:00,116.63,116.85,116.549,116.68,125716.0
2020-04-21 15:25:00,116.53,116.74,116.445,116.605,90581.0
2020-04-21 15:20:00,116.29,116.57,116.16,116.55,87759.0
2020-04-21 15:15:00,115.9,116.27,115.9,116.27,87032.0
2020-04-21 15:10:00,116.31,116.35,115.67,115.91,93962.0
2020-04-21 15:05:00,115.95,116.33,115.92,116.3,98135.0
2020-04-21 15:00:00,115.8,115.98,115.73,115.94,59245.0
2020-04-21 14:55:00,115.64,115.869,115.42,115.8,86777.0
2020-04-21 14:50:00,115.67,115.88,115.6101,115.66,106720.0
2020-04-21 14:45:00,115.71,115.88,115.46,115.725,134229.0
2020-04-21 14:40:00,116.077,116.23,115.6225,115.7,78505.0
2020-04-21 14:35:00,116.38,116.46,116.0,116.065,106725.0
2020-04-21 14:30:00,116.55,116.85,116.36,116.37,82738.0
2020-04-21 14:25:00,115.85,116.74,115.7136,116.58,85772.0
2020-04-21 14:20:00,116.09,116.23,115.75,115.83,45346.0
2020-04-21 14:15:00,115.94,116.32,115.89,116.12,56070.0
2020-04-21 14:10:00,115.54,116.29,115.43,116.04,58684.0
2020-04-21 14:05:00,115.85,115.89,115.25,115.5,102430.0
2020-04-21 14:00:00,115.67,115.93,115.57,115.86,75879.0
2020-04-21 13:55:00,115.9,115.9,115.44,115.635,108804.0
